Position_n,frame_i,Cell_ID,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl
Position_1,0,1,FALSE,FALSE,549,65,,,-1,S,2,2,mother,-1,-1,FALSE,FALSE,3204,131698.7629,16.83916673,50.17921118
Position_1,0,2,FALSE,FALSE,590,63,,,-1,S,0,1,bud,-1,-1,FALSE,FALSE,310,3616.461631,1.629257705,1.377926322
Position_1,0,3,FALSE,FALSE,491,86,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3113,119780.8115,16.36090076,45.6382923
Position_1,0,4,FALSE,FALSE,580,102,,,-1,S,0,5,bud,-1,-1,FALSE,FALSE,1766,51515.58295,9.281513248,19.62821259
Position_1,0,5,FALSE,FALSE,528,131,,,-1,S,2,4,mother,-1,-1,FALSE,FALSE,3843,164895.2577,20.19753987,62.82757544
Position_1,0,6,FALSE,FALSE,461,146,,,-1,S,2,7,mother,-1,-1,FALSE,FALSE,4304,208612.6113,22.62040375,79.48454526
Position_1,0,7,FALSE,FALSE,436,200,,,-1,S,0,6,bud,-1,-1,FALSE,FALSE,1798,52882.0065,9.449694689,20.14884053
Position_1,0,8,FALSE,FALSE,306,312,,,-1,S,2,9,mother,-1,-1,FALSE,FALSE,2846,109572.6068,14.95763687,41.74881264
Position_1,0,9,FALSE,FALSE,326,366,,,-1,S,0,8,bud,-1,-1,FALSE,FALSE,2175,69088.16348,11.43108228,26.3236303
Position_1,0,10,FALSE,FALSE,225,451,,,-1,S,0,11,bud,-1,-1,FALSE,FALSE,1074,25802.98221,5.644589597,9.831324648
Position_1,0,11,FALSE,FALSE,269,468,,,-1,S,2,10,mother,-1,-1,FALSE,FALSE,3424,147703.8808,17.99541413,56.27740205
Position_1,0,12,FALSE,FALSE,304,519,,,-1,S,2,17,mother,-1,-1,FALSE,FALSE,2745,102851.6046,14.42681419,39.18800963
Position_1,0,13,FALSE,FALSE,248,530,,,-1,S,2,14,mother,-1,-1,FALSE,FALSE,3438,144669.7417,18.06899352,55.12134938
Position_1,0,14,FALSE,FALSE,252,584,,,-1,S,0,13,bud,-1,-1,FALSE,FALSE,1520,41689.84642,7.988618424,15.88445906
Position_1,0,15,FALSE,FALSE,402,752,,,-1,S,2,16,mother,-1,-1,FALSE,FALSE,3750,163633.892,19.70876256,62.3469761
Position_1,0,16,FALSE,FALSE,380,795,,,-1,S,0,15,bud,-1,-1,FALSE,FALSE,982,22704.84901,5.161067956,8.650889258
Position_1,0,17,FALSE,FALSE,304,554,,,-1,S,0,12,bud,-1,-1,FALSE,FALSE,244,2268.99027,1.282383484,0.864519449
Position_2,0,1,FALSE,FALSE,238,250,,,-1,S,2,2,mother,-1,-1,FALSE,FALSE,3671,160770.3382,19.29356463,61.255919
Position_2,0,2,FALSE,FALSE,237,310,,,-1,S,0,1,bud,-1,-1,FALSE,FALSE,2310,80719.96075,12.14059774,30.75552016
Position_2,0,3,FALSE,FALSE,733,328,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4117,193161.0066,21.63759346,73.59725125
Position_2,0,4,FALSE,FALSE,367,381,,,-1,S,2,5,mother,-1,-1,FALSE,FALSE,3210,134639.1866,16.87070075,51.29955687
Position_2,0,5,FALSE,FALSE,323,405,,,-1,S,0,4,bud,-1,-1,FALSE,FALSE,1404,39280.03082,7.378960702,14.96628304
Position_2,0,6,FALSE,FALSE,417,416,,,-1,S,2,7,mother,-1,-1,FALSE,FALSE,2593,93245.11541,13.62795235,35.52779264
Position_2,0,7,FALSE,FALSE,464,442,,,-1,S,0,6,bud,-1,-1,FALSE,FALSE,1892,58432.31925,9.94372767,22.26359324
